biosample	BioProject	Organism	run	Assay Type	AvgSpotLen	pre_filtering_bases	Instrument	LibraryLayout	ReleaseDate	assembly_filename	post_filt_total_reads	post_filt_total_bases	pre_spades_assembly	pre_skesa_assembly	post_spades	post_skesa	snp	del	ins	het	unaligned
SAMEA3357268	PRJEB6891	Klebsiella pneumoniae	ERR1008735	WGS	250	761606250	Illumina HiSeq 2000	PAIRED	2015-09-09T00:00:00Z	GCF_002753605.1_ASM275360v1	5996640	749580000	PASS	PASS	PASS	PASS	0	0	0	127	149758
SAMEA3357077	PRJEB6891	Klebsiella pneumoniae	ERR1023800	WGS	250	691253500	Illumina HiSeq 2000	PAIRED	2015-09-23T00:00:00Z	GCF_002753075.1_ASM275307v1	5446568	680821000	PASS	PASS	PASS	PASS	0	0	0	106	150144
SAMN07312488	PRJNA231221	Klebsiella pneumoniae	SRR5884857	WGS	302	2950771332	Illumina HiSeq 4000	PAIRED	2017-07-31T00:00:00Z	GCF_002587165.1_ASM258716v1	14679594	2216618694	PASS	PASS	PASS	PASS	3	1	1	357	153363
SAMN10163190	PRJNA231221	Klebsiella pneumoniae	SRR8179066	WGS	302	2868294528	Illumina HiSeq 4000	PAIRED	2018-11-09T00:00:00Z	GCF_003812085.1_ASM381208v1	16270770	2456886270	PASS	PASS	PASS	PASS	5	0	9	100	157074
SAMN16357455	PRJNA231221	Klebsiella pneumoniae	SRR13674008	WGS	302	4109747068	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903395.1_ASM1690339v1	22478998	3394328698	PASS	PASS	PASS	PASS	0	1	0	458	159709
SAMN16357456	PRJNA231221	Klebsiella pneumoniae	SRR13674019	WGS	302	3711356218	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016904415.1_ASM1690441v1	20728836	3130054236	PASS	PASS	PASS	PASS	4	0	0	341	163438
SAMN02885365	PRJNA253300	Klebsiella pneumoniae	SRR1508819	WGA	200	333799600	Illumina HiSeq 2000	PAIRED	2014-10-08T00:00:00Z	GCF_000764615.1_ASM76461v1	3200402	320040200	PASS	PASS	PASS	PASS	0	11	2	1227	166669
SAMN16357457	PRJNA231221	Klebsiella pneumoniae	SRR13674212	WGS	302	4036901648	Illumina HiSeq 4000	PAIRED	2021-02-09T00:00:00Z	GCF_016903475.1_ASM1690347v1	22273896	3363358296	PASS	PASS	PASS	PASS	2	0	0	419	169690
SAMN03733725	PRJNA246471	Klebsiella pneumoniae	SRR2965672	WGS	302	388904124	Illumina HiSeq 2000	PAIRED	2015-12-05T00:00:00Z	GCF_001456135.1_ASM145613v1	2202226	332535826	PASS	PASS	PASS	PASS	0	0	0	9437	171126
SAMN04011439	PRJNA287968	Klebsiella pneumoniae	SRR2244257	WGS	602	349991964	Illumina MiSeq	PAIRED	2015-09-15T00:00:00Z	GCF_001316945.3_ASM131694v3	682132	205321132	PASS	PASS	PASS	PASS	0	0	6	8030	179963
SAMN03733692	PRJNA246471	Kluyvera intermedia	SRR2965721	WGS	302	379914490	Illumina HiSeq 2000	PAIRED	2015-12-07T00:00:00Z	GCF_001022135.1_ASM102213v1	2239558	338173258	PASS	PASS	PASS	PASS	0	0	0	6156	174596
SAMN02904571	PRJNA244575	Providencia stuartii	SRR1558175	WGS	202	2692100056	Illumina HiSeq 2000	PAIRED	2014-08-28T00:00:00Z	GCF_000754345.1_ASM75434v1	18826644	1901491044	PASS	PASS	PASS	PASS	1	0	24	187	79267
SAMN10346774	PRJNA231221	Pseudomonas aeruginosa	SRR9160467	WGS	302	2765851296	Illumina HiSeq 4000	PAIRED	2019-05-30T00:00:00Z	GCF_006364795.1_ASM636479v1	15123562	2283657862	PASS	PASS	PASS	PASS	0	0	0	231	50190
SAMN11056482	PRJNA231221	Pseudomonas aeruginosa	SRR9641503	WGS	302	1344206228	Illumina HiSeq 4000	PAIRED	2019-07-03T00:00:00Z	GCF_006364735.1_ASM636473v1	8089428	1221503628	PASS	PASS	PASS	PASS	0	0	0	174	60362
SAMN10163227	PRJNA231221	Pseudomonas aeruginosa	SRR8180474	WGS	302	4703211496	Illumina HiSeq 4000	PAIRED	2018-11-09T00:00:00Z	GCF_003812165.1_ASM381216v1	22599164	3412473764	PASS	PASS	PASS	PASS	18	0	1	986	98576
SAMN10163199	PRJNA231221	Pseudomonas aeruginosa	SRR8179283	WGS	302	8408278866	Illumina HiSeq 4000	PAIRED	2018-11-09T00:00:00Z	GCF_003813005.1_ASM381300v1	36430758	5501044458	PASS	PASS	PASS	PASS	6	0	1	53	100194
SAMN16357210	PRJNA231221	Pseudomonas aeruginosa	SRR12825839	WGS	302	2325824612	Illumina HiSeq 4000	PAIRED	2020-10-18T00:00:00Z	GCF_016126955.1_ASM1612695v1	13542090	2044855590	PASS	PASS	PASS	PASS	0	0	0	170	100554
SAMN10163177	PRJNA231221	Pseudomonas aeruginosa	SRR8178086	WGS	302	2327198108	Illumina HiSeq 4000	PAIRED	2018-11-09T00:00:00Z	GCF_003812905.1_ASM381290v1	13920174	2101946274	PASS	PASS	PASS	PASS	0	0	0	141	107443
SAMN05277890	PRJNA298211	Salmonella enterica	SRR3709728	WGS	537	393174350	Illumina MiSeq	PAIRED	2016-06-27T00:00:00Z	GCF_001692495.1_ASM169249v1	871762	219388079	PASS	PASS	PASS	PASS	0	0	0	3919	37188
SAMN04156749	PRJNA298211	Salmonella enterica	SRR2598330	WGS	497	382058383	Illumina MiSeq	PAIRED	2016-01-29T00:00:00Z	GCF_001441205.1_ASM144120v1	1198560	297606587	PASS	PASS	PASS	PASS	0	0	0	20387	40504
SAMN05263553	PRJNA298211	Salmonella enterica	SRR3707412	WGS	500	534330866	Illumina MiSeq	PAIRED	2016-06-26T00:00:00Z	GCF_001690055.1_ASM169005v1	1616542	404072404	PASS	PASS	PASS	PASS	0	0	0	20308	40546
SAMN05263504	PRJNA298211	Salmonella enterica	SRR3707415	WGS	497	626944818	Illumina MiSeq	PAIRED	2016-06-26T00:00:00Z	GCF_001690095.1_ASM169009v1	1173648	290253983	PASS	PASS	PASS	PASS	0	0	0	31733	40618
SAMN04156727	PRJNA298211	Salmonella enterica	SRR2896022	WGS	498	653201292	Illumina MiSeq	PAIRED	2016-01-29T00:00:00Z	GCF_001441225.1_ASM144122v1	2153082	535730306	PASS	PASS	PASS	PASS	0	0	0	13045	42200
SAMN05263513	PRJNA298211	Salmonella enterica	SRR3707447	WGS	497	623553004	Illumina MiSeq	PAIRED	2016-06-26T00:00:00Z	GCF_001690115.1_ASM169011v1	1367826	338690816	PASS	PASS	PASS	PASS	0	0	0	22337	43928
SAMN04156715	PRJNA298211	Salmonella enterica	SRR2898679	WGS	498	721415033	Illumina MiSeq	PAIRED	2016-01-29T00:00:00Z	GCF_001441245.1_ASM144124v1	2474412	615824954	PASS	PASS	PASS	PASS	0	0	0	12774	48575
SAMN04334642	PRJNA305824	Salmonella enterica	SRR3711252	WGS	202	2183301244	Illumina HiSeq 2500	PAIRED	2016-06-27T00:00:00Z	GCF_001692535.1_ASM169253v1	16078630	1623941630	PASS	PASS	PASS	PASS	0	0	0	1003	50479
SAMN04334640	PRJNA305824	Salmonella enterica	SRR3711286	WGS	202	2504258034	Illumina HiSeq 2500	PAIRED	2016-06-28T00:00:00Z	GCF_001692635.1_ASM169263v1	18069440	1825013440	PASS	PASS	PASS	PASS	0	0	0	1048	50528
SAMN05263514	PRJNA298211	Salmonella enterica	SRR3682071	WGS	202	1869090446	Illumina HiSeq 2500	PAIRED	2016-06-23T00:00:00Z	GCF_001692595.1_ASM169259v1	13038038	1316841838	PASS	PASS	PASS	PASS	0	0	0	986	50579
SAMN05263516	PRJNA298211	Salmonella enterica	SRR3703041	WGA	202	1910823242	Illumina HiSeq 2500	PAIRED	2016-06-25T00:00:00Z	GCF_001692515.1_ASM169251v1	13137032	1326840232	PASS	PASS	PASS	PASS	0	0	0	981	50728
SAMN04334629	PRJNA305824	Salmonella enterica	SRR3684173	WGS	202	2953844182	Illumina HiSeq 2500	PAIRED	2016-06-23T00:00:00Z	GCF_001690005.1_ASM169000v1	4898822	494781022	PASS	PASS	PASS	PASS	0	0	0	998	50750
SAMN05263517	PRJNA298211	Salmonella enterica	SRR3703074	WGS	202	2235206962	Illumina HiSeq 2500	PAIRED	2016-06-25T00:00:00Z	GCF_001692615.1_ASM169261v1	15343974	1549741374	PASS	PASS	PASS	PASS	0	0	0	1019	50817
SAMN05263538	PRJNA298211	Salmonella enterica	SRR3703080	WGS	202	2036294128	Illumina HiSeq 2500	PAIRED	2016-06-25T00:00:00Z	GCF_001690075.1_ASM169007v1	15179810	1533160810	PASS	PASS	PASS	PASS	0	1	0	1056	50839
SAMN04334633	PRJNA305824	Salmonella enterica	SRR3684194	WGS	202	2222588224	Illumina HiSeq 2500	PAIRED	2016-06-23T00:00:00Z	GCF_001689935.1_ASM168993v1	15061936	1521255536	PASS	PASS	PASS	PASS	0	0	0	962	50864
SAMN05263515	PRJNA298211	Salmonella enterica	SRR3685561	WGS	202	2389317206	Illumina HiSeq 2500	PAIRED	2016-06-23T00:00:00Z	GCF_001692575.1_ASM169257v1	15852822	1601135022	PASS	PASS	PASS	PASS	0	1	0	1089	51128
SAMN03702839	PRJNA242847	Salmonella enterica	SRR2074998	WGS	298	393248699	NextSeq 500	PAIRED	2015-06-29T00:00:00Z	GCF_002128365.1_ASM212836v1	2142690	319597298	PASS	PASS	PASS	PASS	0	0	17	88144	55616
SAMN03988471	PRJNA292661	Salmonella enterica	SRR2407791	WGS	545	412591748	Illumina MiSeq	PAIRED	2015-09-16T00:00:00Z	GCF_001931595.1_ASM193159v1	804922	204608250	PASS	PASS	PASS	PASS	16	0	32	5721	70130
SAMN03996249	PRJNA231221	Salmonella enterica	SRR2814420	WGS	202	657174478	Illumina HiSeq 2000	PAIRED	2015-10-26T00:00:00Z	GCF_001558355.2_ASM155835v2	6347658	641113458	PASS	PASS	PASS	PASS	0	0	0	358	81874
SAMN02800603	PRJNA186035	Salmonella enterica	SRR1395326	WGS	455	507320495	Illumina MiSeq	PAIRED	2014-06-13T00:00:00Z	GCF_002196535.1_ASM219653v1	1653998	369612331	PASS	PASS	PASS	PASS	0	0	1	28662	82063
SAMN04285042	PRJNA292666	Salmonella enterica	SRR2939562	WGS	268	271499668	Illumina MiSeq	PAIRED	2015-11-20T00:00:00Z	GCF_001931555.1_ASM193155v1	1875572	250794310	PASS	PASS	PASS	PASS	1	1	14	22874	84666
SAMN02568587	PRJNA161807	Salmonella enterica	SRR3173804	WGS	469	526272803	Illumina MiSeq	PAIRED	2016-02-16T00:00:00Z	GCF_001612515.1_ASM161251v1	1991688	464791879	PASS	PASS	PASS	PASS	0	0	4	16642	108003
SAMN03255481	PRJNA231221	Staphylococcus aureus	SRR1955873	WGS	202	1380392048	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001019535.2_ASM101953v2	13415452	1354960652	PASS	PASS	PASS	PASS	4	0	0	47	32221
SAMN03255442	PRJNA231221	Staphylococcus aureus	SRR1955495	WGS	202	1410568020	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001018645.2_ASM101864v2	13664910	1380155910	PASS	PASS	PASS	PASS	9	0	0	48	32299
SAMN07312456	PRJNA231221	Staphylococcus aureus	SRR5878904	WGS	302	5212374738	Illumina HiSeq 4000	PAIRED	2017-07-28T00:00:00Z	GCF_002386245.1_ASM238624v1	27214162	4109338462	PASS	PASS	PASS	PASS	0	0	0	16	33354
SAMN03255482	PRJNA231221	Staphylococcus aureus	SRR1955874	WGS	202	1200465800	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001019125.2_ASM101912v2	11683306	1180013906	PASS	PASS	PASS	PASS	3	0	0	46	33715
SAMN11056488	PRJNA231221	Staphylococcus aureus	SRR9641573	WGS	302	3674013918	Illumina HiSeq 4000	PAIRED	2019-07-03T00:00:00Z	GCF_006364675.1_ASM636467v1	18451310	2786147810	PASS	PASS	PASS	PASS	16	0	0	118	35163
SAMN03255446	PRJNA231221	Staphylococcus aureus	SRR1955590	WGS	202	1173033998	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001019275.2_ASM101927v2	11386986	1150085586	PASS	PASS	PASS	PASS	2	0	0	66	36842
SAMN16357387	PRJNA231221	Staphylococcus aureus	SRR13182643	WGS	302	2439244638	Illumina NovaSeq 6000	PAIRED	2020-12-02T00:00:00Z	GCF_016889945.1_ASM1688994v1	14383384	2171890984	PASS	PASS	PASS	PASS	0	0	0	130	37648
SAMN03255466	PRJNA231221	Staphylococcus aureus	SRR1955823	WGS	202	1640006084	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001018915.2_ASM101891v2	15903844	1606288244	PASS	PASS	PASS	PASS	0	0	0	71	37673
SAMN16357388	PRJNA231221	Staphylococcus aureus	SRR13182647	WGS	302	3246357758	Illumina NovaSeq 6000	PAIRED	2020-12-02T00:00:00Z	GCF_016889145.1_ASM1688914v1	19430240	2933966240	PASS	PASS	PASS	PASS	0	0	0	25	38061
SAMN16357255	PRJNA231221	Staphylococcus aureus	SRR12934882	WGS	302	3344534938	Illumina HiSeq 4000	PAIRED	2020-10-29T00:00:00Z	GCF_016727585.1_ASM1672758v1	19599112	2959465912	PASS	PASS	PASS	PASS	0	0	0	719	38450
SAMN03255451	PRJNA231221	Staphylococcus aureus	SRR1955607	WGS	202	1496384286	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001018735.2_ASM101873v2	14517744	1466292144	PASS	PASS	PASS	PASS	0	0	0	69	38799
SAMN03255444	PRJNA231221	Staphylococcus aureus	SRR1955581	WGS	202	1787568902	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001018685.2_ASM101868v2	17373518	1754725318	PASS	PASS	PASS	PASS	3	0	0	47	39635
SAMN03255487	PRJNA231221	Staphylococcus aureus	SRR1955931	WGS	202	1374453450	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001019205.2_ASM101920v2	13299724	1343272124	PASS	PASS	PASS	PASS	0	0	0	272	39794
SAMN02700075	PRJNA231221	Staphylococcus aureus	SRR1206476	WGS	202	2207251172	Illumina HiSeq 2000	PAIRED	2014-03-28T00:00:00Z	GCF_000626615.2_ASM62661v3	21353796	2156733396	PASS	PASS	PASS	PASS	0	0	0	92	39994
SAMN03255463	PRJNA231221	Staphylococcus aureus	SRR1955816	WGS	202	1095202590	Illumina HiSeq 2500	PAIRED	2015-05-12T00:00:00Z	GCF_001019415.2_ASM101941v2	10712888	1082001688	PASS	PASS	PASS	PASS	80	0	0	66	43115
SAMN03255453	PRJNA231221	Staphylococcus aureus	SRR1955613	WGS	202	1562233458	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001018775.2_ASM101877v2	15176648	1532841448	PASS	PASS	PASS	PASS	0	0	0	56	46162
SAMN03996304	PRJNA231221	Staphylococcus aureus	SRR2822404	WGS	202	1330914572	Illumina HiSeq 2500	PAIRED	2015-10-27T00:00:00Z	GCF_001558795.2_ASM155879v2	12924100	1305334100	PASS	PASS	PASS	PASS	0	0	0	23	50162
SAMN03255445	PRJNA231221	Staphylococcus aureus	SRR1955586	WGS	202	1133814082	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001018655.2_ASM101865v2	11028378	1113866178	PASS	PASS	PASS	PASS	0	0	0	75	55525
SAMN03255454	PRJNA231221	Staphylococcus aureus	SRR1955616	WGS	202	1472233570	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001018805.1_ASM101880v2	14303896	1444693496	PASS	PASS	PASS	PASS	1	0	2	67	55543
SAMN03255464	PRJNA231221	Staphylococcus aureus	SRR1955819	WGS	202	1163341028	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001019435.2_ASM101943v2	11307300	1142037300	PASS	PASS	PASS	PASS	0	0	0	56	58395
SAMN03255479	PRJNA231221	Staphylococcus aureus	SRR1955869	WGS	202	1310411168	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001019495.2_ASM101949v2	12703296	1283032896	PASS	PASS	PASS	PASS	3	0	0	73	58750
SAMN11056481	PRJNA231221	Staphylococcus aureus	SRR9641507	WGS	302	1694626190	Illumina HiSeq 4000	PAIRED	2019-07-03T00:00:00Z	GCF_006364775.1_ASM636477v1	9965248	1504752448	PASS	PASS	PASS	PASS	0	0	0	24	63397
SAMN03255474	PRJNA231221	Staphylococcus aureus	SRR1955856	WGS	202	1677933200	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001019485.2_ASM101948v2	16237692	1640006892	PASS	PASS	PASS	PASS	0	0	0	81	63804
SAMN03255460	PRJNA231221	Staphylococcus aureus	SRR1955630	WGS	202	1345165268	Illumina HiSeq 2500	PAIRED	2015-05-12T00:00:00Z	GCF_001018845.2_ASM101884v2	13116142	1324730342	PASS	PASS	PASS	PASS	0	0	0	43	64240
SAMN03255458	PRJNA231221	Staphylococcus aureus	SRR1955625	WGS	202	1594513058	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001018835.2_ASM101883v2	15484170	1563901170	PASS	PASS	PASS	PASS	0	0	0	59	67017
SAMN03255448	PRJNA231221	Staphylococcus aureus	SRR1955595	WGS	202	1319813056	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001019305.2_ASM101930v2	12830706	1295901306	PASS	PASS	PASS	PASS	0	0	0	69	70391
SAMN03255469	PRJNA231221	Staphylococcus aureus	SRR1955833	WGS	202	1397612750	Illumina HiSeq 2500	PAIRED	2015-05-12T00:00:00Z	GCF_001018975.2_ASM101897v2	13640060	1377646060	PASS	PASS	PASS	PASS	65	0	0	47	78087
SAMN10163180	PRJNA231221	Staphylococcus aureus	SRR8178101	WGS	302	3113284780	Illumina HiSeq 4000	PAIRED	2018-11-09T00:00:00Z	GCF_003827915.1_ASM382791v1	18049324	2725447924	PASS	PASS	PASS	PASS	0	0	0	51	78707
SAMN03255449	PRJNA231221	Staphylococcus aureus	SRR1955597	WGS	202	1642901956	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001018725.2_ASM101872v2	15955132	1611468332	PASS	PASS	PASS	PASS	54	0	2	160	79537
SAMN03255486	PRJNA231221	Staphylococcus aureus	SRR1955924	WGS	202	1276265088	Illumina HiSeq 2000	PAIRED	2015-05-12T00:00:00Z	GCF_001019575.2_ASM101957v2	12392694	1251662094	PASS	PASS	PASS	PASS	0	0	0	94	80104
SAMN11056375	PRJNA231221	Staphylococcus lugdunensis	SRR8984868	WGS	302	3365264822	Illumina HiSeq 4000	PAIRED	2019-04-29T00:00:00Z	GCF_008693765.1_ASM869376v1	19580916	2956718316	PASS	PASS	PASS	PASS	0	0	0	30	66329
